table_name,table_name_caps
customer,CUSTOMER
customer_address,CUSTOMER_ADDRESS
customer_demographics,CUSTOMER_DEMOGRAPHICS
date_dim,DATE_DIM
dbgen_version,DBGEN_VERSION
household_demographics,HOUSEHOLD_DEMOGRAPHICS
income_band,INCOME_BAND
inventory,INVENTORY
item,ITEM
promotion,PROMOTION
reason,REASON
ship_mode,SHIP_MODE
store,STORE
store_returns,STORE_RETURNS
store_sales,STORE_SALES
time_dim,TIME_DIM
warehouse,WAREHOUSE
web_page,WEB_PAGE
web_returns,WEB_RETURNS
web_sales,WEB_SALES
web_site,WEB_SITE
call_center,CALL_CENTER
catalog_page,CATALOG_PAGE
catalog_returns,CATALOG_RETURNS
catalog_sales,CATALOG_SALES
